DAT,temp,humidity,co2,ec,white_led_sum,blue_led_sum,red_led_sum,all_led_sum,white_led_count,blue_led_count,red_led_count,all_led_count
0.0,27.75240403100938,55.1494329576349,55.1494329576349,0.3970935366310577,618.82,73876.14,117060.552,191555.512,,,,
1.0,26.953743179180346,56.066752212643735,56.066752212643735,0.4046029245941718,618.82,73876.14,117060.552,191555.512,1.0,21.0,21.0,21.0
2.0,26.97884040136063,54.09078659301479,54.09078659301479,0.41534317261236237,0.0,71996.34,114081.912,186078.25199999998,0.0,20.0,20.0,20.0
3.0,26.332831334847498,59.50613490278209,59.50613490278209,0.42375756032610923,309.41,73562.84,116564.112,190436.362,1.0,21.0,21.0,22.0
4.0,26.122951329415688,61.42605722700004,61.42605722700004,0.4353871393948789,0.0,73750.8199999999,116861.976,190612.79599999991,0.0,21.0,21.0,21.0
5.0,26.029952228552094,62.042917413052415,62.042917413052415,0.44038739234959684,0.0,73437.5199999999,116365.536,189803.0559999999,0.0,21.0,21.0,21.0
6.0,27.003433284629267,59.062985358936515,59.062985358936515,0.4438823420891145,0.0,73813.48,116961.264,190774.744,0.0,21.0,21.0,21.0
7.0,26.651041856394258,61.86806752619817,61.86806752619817,0.5046009839976378,0.0,73562.84,116564.112,190126.952,0.0,21.0,21.0,21.0
8.0,27.034614983206595,59.530407120009556,59.530407120009556,0.5813687725220636,0.0,73625.5,116663.4,190288.9,0.0,21.0,21.0,21.0
9.0,26.633712311226503,63.34524713994864,63.34524713994864,0.5803755352101696,0.0,73750.8199999999,116861.976,190612.79599999991,0.0,21.0,21.0,21.0
10.0,27.102569370799547,66.32602549346898,66.32602549346898,0.5848650962942172,0.0,73750.8199999999,116861.976,190612.79599999991,0.0,21.0,21.0,21.0
11.0,26.660344750488346,61.30231195016944,61.30231195016944,0.5952995746228767,0.0,73688.1599999999,116762.688,190450.84799999988,0.0,21.0,21.0,21.0
12.0,26.865838030791327,60.37484616880309,60.37484616880309,0.6026705147306005,0.0,73625.5,116663.4,190288.9,0.0,21.0,21.0,21.0
13.0,26.894262311833064,62.258574868439034,62.258574868439034,0.8188192802384998,618.82,73876.14,117060.552,191555.512,2.0,21.0,21.0,22.0
14.0,27.033341861926782,64.06798832139283,64.06798832139283,1.16599744107836,0.0,73876.14,117060.552,190936.69199999998,0.0,21.0,21.0,21.0
15.0,26.831194623984814,68.23086450802444,68.23086450802444,1.1717924246357487,0.0,73785.283,116918.2392,190703.5222,0.0,21.0,21.0,21.0
16.0,27.106666584809563,72.24268624312968,72.24268624312968,1.174130981994995,0.0,73562.84,116564.112,190126.952,0.0,20.0,20.0,20.0
17.0,26.993765057730375,73.63257879247702,73.63257879247702,1.1854286584608207,0.0,48060.2199999999,76153.896,124214.1159999999,0.0,14.0,14.0,14.0
18.0,26.919844795436386,74.43178170757417,74.43178170757417,1.2040357779448236,0.0,25627.940000000002,40608.792,66236.732,0.0,7.0,7.0,7.0
19.0,26.741513309350818,75.71137871560333,75.71137871560333,1.2340007492266116,0.0,73562.84,116564.112,190126.952,0.0,20.0,20.0,20.0
20.0,27.01018823133794,76.86416297965394,76.86416297965394,1.2282704351494391,0.0,73688.1599999999,116762.688,190450.84799999988,0.0,20.0,20.0,20.0
21.0,27.464791516462913,77.38388882742983,77.38388882742983,1.2322475294272062,0.0,73750.8199999999,116861.976,190612.79599999991,0.0,21.0,21.0,21.0
22.0,27.26446079987812,78.12784264891381,78.12784264891381,1.2437131421110783,0.0,73437.5199999999,116365.536,189803.0559999999,0.0,21.0,21.0,21.0
23.0,26.293435623422653,78.45268642720897,78.45268642720897,1.261455907851279,0.0,73625.5,116663.4,190288.9,0.0,21.0,21.0,21.0
24.0,26.162336257734264,78.25043555015445,78.25043555015445,1.2845265698789265,0.0,73813.48,116961.264,190774.744,0.0,21.0,21.0,21.0
25.0,25.155233298755462,78.38592266722134,78.38592266722134,1.734877409639626,0.0,73500.18,116464.824,189965.00400000002,0.0,21.0,21.0,21.0
26.0,25.59105869182677,78.71791665024223,78.71791665024223,2.023396254686298,0.0,73876.14,117060.552,190936.69199999998,0.0,21.0,21.0,21.0
27.0,25.59105869182677,78.71791665024223,78.71791665024223,2.023396254686298,0.0,73876.14,117060.552,190936.69199999998,0.0,21.0,21.0,21.0
