DAT,temp,humidity,co2,ec,white_led_sum,blue_led_sum,red_led_sum,all_led_sum,white_led_count,blue_led_count,red_led_count,all_led_count
0.0,24.24956346625,58.00742037208334,58.00742037208334,1.0393990713749999,153321.9373,1530.4705,2424.282,157276.6898,,,,
1.0,28.480256490000002,53.14591928125,53.14591928125,1.0330138872916665,209622.18089999998,0.0,0.0,209622.18089999998,14.0,0.0,0.0,14.0
2.0,35.02881826,50.43995753833334,50.43995753833334,0.9784913384166667,209424.15849999996,0.0,0.0,209424.15849999996,14.0,0.0,0.0,14.0
3.0,26.53513875375,53.91000004791667,53.91000004791667,1.0307116589166667,209588.14579999997,0.0,0.0,209588.14579999997,14.0,0.0,0.0,14.0
4.0,27.3646527075,54.487986078333336,54.487986078333336,1.0279101632916665,208898.16149999996,0.0,0.0,208898.16149999996,14.0,0.0,0.0,14.0
5.0,26.763074620833333,54.848137109166665,54.848137109166665,1.029573007125,209473.66409999997,0.0,0.0,209473.66409999997,14.0,0.0,0.0,14.0
6.0,26.323674482083334,56.35658261333333,56.35658261333333,1.0313046845833334,209526.26379999996,0.0,0.0,209526.26379999996,14.0,0.0,0.0,14.0
7.0,26.6955048975,56.70727636666667,56.70727636666667,1.0304512176666667,209473.66409999997,0.0,0.0,209473.66409999997,13.0,0.0,0.0,13.0
8.0,25.869710261250003,57.510316123749995,57.510316123749995,1.0332686906250002,209176.63049999997,0.0,0.0,209176.63049999997,14.0,0.0,0.0,14.0
9.0,25.37554589125,57.06137450875,57.06137450875,1.0384970808333334,209281.82989999998,0.0,0.0,209281.82989999998,14.0,0.0,0.0,14.0
10.0,28.157914253749997,56.833188514999996,56.833188514999996,1.0259402728333333,209650.02779999998,0.0,0.0,209650.02779999998,14.0,0.0,0.0,14.0
11.0,26.674687949583333,56.256244089999996,56.256244089999996,1.0291904200833333,209439.62899999996,0.0,0.0,209439.62899999996,13.0,0.0,0.0,13.0
12.0,26.2513888,56.555347185833334,56.555347185833334,1.0333989657916667,209513.88739999998,0.0,0.0,209513.88739999998,13.0,0.0,0.0,13.0
13.0,25.99177956708333,56.420361549999996,56.420361549999996,1.0335683360416665,209646.93369999997,0.0,0.0,209646.93369999997,14.0,0.0,0.0,14.0
14.0,28.05583328125,56.13409723416667,56.13409723416667,1.0283077889583334,178814.2272,6175.143,9847.7148,194837.085,14.0,4.0,4.0,14.0
15.0,32.6702777,56.96534727458334,56.96534727458334,1.0104667865,104617.70919999998,21058.4595,33527.9028,159204.0715,14.0,13.0,14.0,14.0
16.0,31.720048147083332,57.08020836875,57.08020836875,1.04941081725,104667.21479999999,21061.5925,33521.2836,159250.0909,14.0,13.0,14.0,14.0
17.0,31.87631937,56.20333330375001,56.20333330375001,1.074977028875,104444.43959999998,21085.09,33463.3656,158992.8952,13.0,13.0,13.0,13.0
18.0,26.852916502083332,56.64187500041667,56.64187500041667,1.1043968879166666,104617.70919999998,21141.484,33527.9028,159287.096,13.0,13.0,13.0,13.0
19.0,31.714791492916664,56.674236092499996,56.674236092499996,1.0746959072083333,104701.24989999998,21143.0505,33522.9384,159367.2388,13.0,13.0,13.0,13.0
20.0,32.12695607166667,56.98786602458333,56.98786602458333,1.0929792347916667,104679.59119999998,21150.883,33542.796,159373.2702,14.0,14.0,14.0,14.0
21.0,26.776685682083336,56.533754807083334,56.533754807083334,1.14530733275,104583.6741,21125.819,33494.8068,159204.29989999998,13.0,13.0,13.0,13.0
22.0,25.04310958625,56.95933379291666,56.95933379291666,1.1512749295,104691.9676,21164.9815,33521.2836,159378.2327,13.0,13.0,13.0,13.0
23.0,24.815337189999997,57.3480452425,57.3480452425,1.1399102051666665,104611.52099999998,21132.085,33514.6644,159258.27039999998,13.0,14.0,13.0,14.0
24.0,24.27333323166667,57.86930554166667,57.86930554166667,1.1271500290833334,104571.29769999998,21128.952000000005,33493.152,159193.4017,13.0,14.0,13.0,14.0
25.0,23.68159233375,58.661318262083334,58.661318262083334,1.1082945007916667,104744.5673,21144.617,33508.0452,159397.2295,13.0,13.0,13.0,13.0
26.0,24.171527713333333,58.371002860833336,58.371002860833336,1.0816127531250002,104636.2738,21150.883,33508.0452,159295.202,13.0,13.0,13.0,13.0
27.0,23.59842390958333,59.046082831666666,59.046082831666666,1.0712435083333334,104642.46199999998,21132.085,33514.6644,159289.2114,14.0,13.0,13.0,14.0
